trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
253,False,"{'a': 0.1, 'e': 0.6505263269010683}",25,0,-126.8291738730242,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
254,False,"{'a': 0.1, 'e': 0.6481404364626593}",20,0,-0.8042167076259175,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
255,False,"{'a': 0.1, 'e': 0.6457508425210544}",25,7,-121.1455224770763,"{0: 12, 1: 0, 2: 2, 3: 2, 4: 2}",1
256,False,"{'a': 0.1, 'e': 0.6433576048159777}",30,11,-66.45544656823618,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 1}",1
257,False,"{'a': 0.1, 'e': 0.6409607831782472}",25,0,-69.96935561214993,"{0: 16, 1: 4, 2: 3, 3: 2, 4: 0}",0
258,False,"{'a': 0.1, 'e': 0.6385604375282787}",25,4,-26.266270401757293,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 0}",1
259,False,"{'a': 0.1, 'e': 0.6361566278745889}",20,0,-85.68274370498312,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
260,False,"{'a': 0.1, 'e': 0.6337494143122937}",20,12,-4.189894069789809,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
261,False,"{'a': 0.1, 'e': 0.6313388570216067}",20,0,-85.02050380229477,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
262,False,"{'a': 0.1, 'e': 0.6289250162663348}",20,4,-24.472296196372007,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
263,False,"{'a': 0.1, 'e': 0.6265079523923711}",20,13,-24.389347703733662,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 0}",1
264,False,"{'a': 0.1, 'e': 0.6240877258261864}",20,8,-16.647619520220204,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
265,False,"{'a': 0.1, 'e': 0.6216643970733191}",20,4,-26.89121348993389,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 0}",1
266,False,"{'a': 0.1, 'e': 0.6192380267168616}",25,0,-87.95926854439972,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
267,False,"{'a': 0.1, 'e': 0.6168086754159465}",35,13,-32.7986665531823,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 1}",1
268,False,"{'a': 0.1, 'e': 0.6143764039042297}",30,4,-73.59362097444173,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 1}",1
269,False,"{'a': 0.1, 'e': 0.6119412729883725}",20,0,-68.12503143561266,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
270,False,"{'a': 0.1, 'e': 0.6095033435465207}",20,0,-54.304497962501486,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
271,False,"{'a': 0.1, 'e': 0.6070626765267837}",20,0,-61.60854785162595,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
272,False,"{'a': 0.1, 'e': 0.6046193329457097}",20,0,-82.9956630658948,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
273,False,"{'a': 0.1, 'e': 0.602173373886761}",20,10,17.566421873703632,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.1, 'e': 0.5997248604987864}",20,0,-88.01409875981372,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
275,False,"{'a': 0.1, 'e': 0.5972738539944936}",35,0,-111.99001266481933,"{0: 25, 1: 5, 2: 2, 3: 1, 4: 2}",1
